"PrinterName","Group"
"Canon Inkjet iP100 series","Everyone"
"Canon Inkjet iP100 series","CREATOR OWNER"
"Canon Inkjet iP100 series","CREATOR OWNER"
"Canon Inkjet iP100 series","vboxuser"
"Canon Inkjet iP100 series","vboxuser"
"Canon Inkjet iP100 series","Administrators"
"Canon Inkjet iP100 series","Administrators"
"Canon Inkjet iP100 series","Server Operators"
"Canon Inkjet iP100 series","Server Operators"
"Canon Inkjet iP100 series","Print Operators"
"Canon Inkjet iP100 series","Print Operators"
"Brother DCP-116C","vboxuser"
"Brother DCP-116C","vboxuser"
"Brother DCP-116C","CREATOR OWNER"
"Brother DCP-116C","Everyone"
"Brother DCP-116C","Everyone"
"Brother DCP-116C","Administrators"
"Brother DCP-116C","Administrators"
"Brother DCP-116C","Print Operators"
"Brother DCP-116C","Print Operators"
"Brother DCP-116C","Server Operators"
"Brother DCP-116C","Server Operators"
"Microsoft XPS Document Writer","CREATOR OWNER"
"Microsoft XPS Document Writer","Everyone"
"Microsoft XPS Document Writer","Everyone"
"Microsoft XPS Document Writer","Administrators"
"Microsoft XPS Document Writer","Administrators"
